,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
0,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,3.23,Y,ARWF1,241.59,241,50,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
1,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,32,2.57,Y,ARWF1,-,-,-,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
2,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,33-75,3.23,Y,ARWF1,-,-,-,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
3,Diamond Energy Pty Ltd,Baking Board Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,2.5,Y,BAKING1,17,14,1000,Baking Board ,-26.698762,150.5794702,1,21.44,APLNG ORANA 275 kV,High,21.44,APLNG ORANA 275 kV,Poor,21.44,APLNG ORANA 275 kV,High
4,Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,2.05,Y,BALDHWF1,106.6,106,600,Bald Hills ,-36.75117,149.33713,1,20.16,STEEPLE FLAT 132 kV,Poor,20.16,STEEPLE FLAT 132 kV,Poor,20.16,STEEPLE FLAT 132 kV,Very poor
5,Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,2.5,Y,BANN1,100,88,18,Bannerton ,-34.73749,142.7992023,1,25.73,WEMEN 220 kV,Very poor,25.73,WEMEN 220 kV,Very poor,25.73,WEMEN 220 kV,Poor
6,Diamond Energy Pty Ltd,Barcaldine Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Feb,10,Y,BARCSF1,20,20,0,Barcaldine ,-23.05188,145.8212732,1,76.08,BARCALDINE 132 kV,Very poor,76.08,BARCALDINE 132 kV,Very poor,76.08,BARCALDINE 132 kV,Very poor
7,FS NSW Project No 1 At Pty Ltd as trustee for the FS NSW Project No 1 Asset Trust,"Beryl Solar Farm, Units 1-60",NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-60,1.64,Y,BERYLSF1,98,87,88,Beryl ,-32.3430231,149.4431163,1,48.51,WOLLAR 500 kV,High,48.51,WOLLAR 500 kV,High,48.51,WOLLAR 500 kV,Very poor
8,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-58,1.7,N,BOCORWF1,113.18,113,201,Boco Rock ,-36.58,149.08,1,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Very poor
9,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,59-67,1.62,N,BOCORWF1,-,-,-,Boco Rock ,-36.58,149.08,1,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Very poor
10,Bodangora Wind Farm Pty Limited,Bodangora Wind Farm ,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-33,3.43,Y,BODWF1,113.19,111,50,Bodangora ,-32.4566667,148.9927778,1,8.32,WELLINGTON 330 kV,Neutral,8.32,WELLINGTON 330 kV,Neutral,8.32,WELLINGTON 330 kV,Neutral
11,Bomen Solar Farm Pty Ltd as trustee for Bomen SF Trust,Bomen Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-44,2.273,Y,BOMENSF1,121,100,18,Bomen ,-35.0816667,147.4177778,1,13.39,WAGGA 330 kV,Neutral,13.39,WAGGA 330 kV,High,13.39,WAGGA 330 kV,High
12,AGL Hydro Partnership,Broken Hill Solar Plant,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-80,0.672,N,BROKENH1,53.76,53,20,Broken Hill ,-31.965,141.4511111,1,3.82,BROKEN HILL 220 kV,Very poor,3.82,BROKEN HILL 220 kV,Very poor,3.82,BROKEN HILL 220 kV,Very poor
13,Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub - Units 1-50,VIC1,Generator,Market,     Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-50,2,Y,BULGANA1,182,100,20,Bulgana Green Power Hub - Units 1-50,-37.097439,142.973608,1,6.85,BULGANA 220 kV,Very poor,6.85,BULGANA 220 kV,Very poor,6.85,BULGANA 220 kV,Very poor
14,Origin Energy Uranquinty Power Pty Ltd,Bungala One Solar Farm,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,54,2.5,Y,BNGSF1,135,110,25,Bungala One ,-32.4155509,137.8398439,1,13.74,DAVENPORT 275 kV,Very poor,13.74,DAVENPORT 275 kV,Very poor,13.74,DAVENPORT 275 kV,Very poor
15,Origin Energy Uranquinty Power Pty Ltd,Bungala Two Solar Farm,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,54,2.5,Y,BNGSF2,135,110,25,Bungala Two ,-32.4155509,137.8398439,1,13.74,DAVENPORT 275 kV,Very poor,13.74,DAVENPORT 275 kV,Very poor,13.74,DAVENPORT 275 kV,Very poor
16,Canunda Power Pty Ltd,Canunda Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-23,2,N,CNUNDAWF,46,46,,Canunda ,-37.73087685,140.3195743,1,11.31,SNUGGERY 132 kV,Very poor,11.31,SNUGGERY 132 kV,Very poor,11.31,SNUGGERY 132 kV,Poor
17,Infigen Energy Holdings Pty Limited,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Feb,0.013,N,CESF1,0.205,1,0,Capital East ,-35.1458,149.5671,1,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral
18,Infigen Energy Holdings Pty Limited,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,3,0.011,N,CESF1,-,-,-,Capital East ,-35.1458,149.5671,1,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral
19,Infigen Energy Holdings Pty Limited,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,4,0.168,N,CESF1,-,-,-,Capital East ,-35.1458,149.5671,1,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral,"11,750.79",LINDISFARNE 220 kV,Neutral
20,Infigen Energy Markets Pty Limited,Capital Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-67,2,N,CAPTL_WF,140,140,,Capital ,-35.1458,149.5671,1,"11,750.59",LINDISFARNE 220 kV,Neutral,"11,750.59",LINDISFARNE 220 kV,Neutral,"11,750.59",LINDISFARNE 220 kV,Neutral
21,Cathedral Rocks Wind Farm Pty Ltd,Cathedral Rocks,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-33,2,N,CATHROCK,66,66,,Cathedral Rocks,-34.85,135.583333,1,1.01,SLEAFORD 132 kV,Very poor,1.01,SLEAFORD 132 kV,Very poor,1.01,SLEAFORD 132 kV,Very poor
22,Wild Cattle Hill Pty Ltd,Cattle Hill Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3,Y,CTHLWF1,148,144,6,Cattle Hill ,-16.2498471,145.3249177,1,65.04,LAKELAND 132 kV,Very poor,65.04,LAKELAND 132 kV,Very poor,65.04,LAKELAND 132 kV,Very poor
23,Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,1.5,Y,CHALLHWF,52.5,52,0,Challicum Hills ,-37.38,143.11,1,29,CROWLANDS 220 kV,Very poor,29,CROWLANDS 220 kV,Very poor,29,CROWLANDS 220 kV,Very poor
24,AETV Pty Ltd,Chepstowe Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Mar,2.05,N,CHPSTWF1,6.15,6,0,Chepstowe ,-37.596725,143.4853814,1,32.6,BALLARAT 220 kV,Very poor,32.6,BALLARAT 220 kV,Very poor,32.6,BALLARAT 220 kV,Very poor
25,Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust ,Cherry Tree Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-16,3.562,Y,CHYTWF1,57.6,57,0,Cherry Tree ,-33.2816667,149.5344444,1,46.59,MOUNT PIPER 500 kV,High,46.59,MOUNT PIPER 500 kV,High,46.59,MOUNT PIPER 500 kV,High
26,Childers Solar Pty Ltd as the Trustee for the Childers Solar Trust ,Childers Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-37,1.51,Y,CHILDSF1,64.38,56,192,Childers ,-25.2345404,152.2768198,1,50.79,TEEBAR CREEK 275 kV,High,50.79,TEEBAR CREEK 275 kV,High,50.79,TEEBAR CREEK 275 kV,High
27,Clare Solar Farm Pty Ltd,Clare Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-69,1.598,Y,CLARESF1,110.262,100,12,Clare ,-19.83941664,147.2103591,1,70.04,ROSS 275 kV,Very poor,70.04,ROSS 275 kV,Very poor,70.04,ROSS 275 kV,Very poor
28,Pacific Hydro Clements Gap Pty Ltd,Clements Gap Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-27,2,N,CLEMGPWF,57,57,30,Clements Gap ,-33.5084391,138.0644427,1,31.64,BRINKWORTH 275 kV,Poor,31.64,BRINKWORTH 275 kV,Neutral,31.64,BRINKWORTH 275 kV,Very poor
29,Clermont Asset Co Pty Ltd as the Trustee for the Clermont Solar Unit Trust,Clermont Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-37,2.03,Y,CLERMSF1,92.5,75,90,Clermont ,-22.8246746,147.6403071,1,84.41,DYSART 132 kV,Poor,84.41,DYSART 132 kV,Poor,84.41,DYSART 132 kV,Poor
30,Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,1.3,N,CODRNGTON,18.2,18,0,Codrington ,-28.9483333,153.2427778,1,8.32,LISMORE 330 kV,Neutral,8.32,LISMORE 330 kV,Neutral,8.32,LISMORE 330 kV,Neutral
31,Coleambally Solar Pty Ltd,Coleambally Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-90,1.666,Y,COLEASF1,180,150,30,Coleambally ,-34.8059444,145.8805161,1,22.46,DARLINGTON POINT 330 kV,Very poor,22.46,DARLINGTON POINT 330 kV,High,22.46,DARLINGTON POINT 330 kV,Very poor
32,Collector Wind Farm Pty Ltd,Collector Wind Farm 1,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-54,4.055,Y,COLWF01,113,110,44,Collector ,-34.9133385,149.4322749,1,31.57,CAPITAL 330 kV,High,31.57,CAPITAL 330 kV,High,31.57,CAPITAL 330 kV,High
33,Braemar Power Project Pty Ltd ,Collinsville Solar PV Power Station,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-17,2.47,Y,CSPVPS1,42,40,8,Collinsville ,-20.549259,147.8434135,1,9.01,STRATHMORE 275 kV,Poor,9.01,STRATHMORE 275 kV,Very poor,9.01,STRATHMORE 275 kV,Very poor
34,Coonooer Bridge Wind Farm Pty Ltd,Coonooer Bridge Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,19.8,N,CBWF1,19.8,20,0,Coonooer Bridge ,-36.47512,143.3195271,1,69.18,BULGANA 220 kV,Very poor,69.18,BULGANA 220 kV,Very poor,69.18,BULGANA 220 kV,Very poor
35,AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3.52,Y,COOPGWF1,174,169,100,Coopers Gap ,-26.76247,151.49947,1,3.86,COOPERS GAP 275 kV,High,3.86,COOPERS GAP 275 kV,Very poor,3.86,COOPERS GAP 275 kV,Neutral
36,AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,49-62,3.71,Y,COOPGWF1,53,52,100,Coopers Gap ,-26.76247,151.49947,1,3.86,COOPERS GAP 275 kV,High,3.86,COOPERS GAP 275 kV,Very poor,3.86,COOPERS GAP 275 kV,Neutral
37,AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,63-105,3.53,Y,COOPGWF1,156,152,100,Coopers Gap ,-26.76247,151.49947,1,3.86,COOPERS GAP 275 kV,High,3.86,COOPERS GAP 275 kV,Very poor,3.86,COOPERS GAP 275 kV,Neutral
38,AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,106-123,3.72,Y,COOPGWF1,69,67,100,Coopers Gap ,-26.76247,151.49947,1,3.86,COOPERS GAP 275 kV,High,3.86,COOPERS GAP 275 kV,Very poor,3.86,COOPERS GAP 275 kV,Neutral
39,Crookwell Development Pty Ltd ,Crookwell 2 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-28,3.43,Y,CROOKWF2,96.04,91,100,Crookwell 2 ,-34.4576958,149.4696713,1,17.02,CROOKWELL 2 330 kV,High,17.02,CROOKWELL 2 330 kV,High,17.02,CROOKWELL 2 330 kV,High
40,Pacific Hydro Crowlands Pty Ltd ,Crowlands Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-39,2.05,Y,CROWLWF1,79.95,79,39,Crowlands ,-37.1499246,143.1075062,1,5.25,CROWLANDS 220 kV,Very poor,5.25,CROWLANDS 220 kV,Very poor,5.25,CROWLANDS 220 kV,Very poor
41,Cullerin Range Wind Farm Pty Ltd,Cullerin Range Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,2,N,CULLRGWF,30,30,,Cullerin Range ,-34.7767111,149.3553066,1,20.37,GULLEN RANGE 330 kV,High,20.37,GULLEN RANGE 330 kV,High,20.37,GULLEN RANGE 330 kV,High
42,Darling Downs Solar Farm Pty Ltd ,"Darling Downs Solar Farm, Units 1-44 ",QLD1,Generator,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Flat Panel,Jan-44,2.75,Y,DDSF1,121,108,21,Darling Downs ,-27.112,150.8819,1,1.84,BRAEMAR 330 kV,High,1.84,BRAEMAR 330 kV,Very poor,1.84,BRAEMAR 330 kV,Neutral
43,Darlington Point Solar Farm Pty Ltd ,"Darlington Point Solar Farm, Units 1-108",NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-108,2.546,Y,DARLSF1,324,275,55,Darlington Point ,-34.5659957,146.0002828,1,9.77,DARLINGTON POINT 330 kV,Very poor,9.77,DARLINGTON POINT 330 kV,High,9.77,DARLINGTON POINT 330 kV,Very poor
44,Daydream Solar Farm Pty Ltd ATF the Daydream Solar Farm Trust ,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-29,2.75,Y,DAYDSF1,79.75,71.34,165,Daydream ,-28.085556,153.449469,1,5.2,MUDGEERABA 275 kV,High,5.2,MUDGEERABA 275 kV,Neutral,5.2,MUDGEERABA 275 kV,High
45,Daydream Solar Farm Pty Ltd ATF the Daydream Solar Farm Trust ,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,30-61,2.75,Y,DAYDSF2,88,78.72,165,Daydream ,-28.085556,153.449469,1,5.2,MUDGEERABA 275 kV,High,5.2,MUDGEERABA 275 kV,Neutral,5.2,MUDGEERABA 275 kV,High
46,Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-40,4.2,Y,DUNDWF1,168,168,34,Dundonnell ,-37.8992405,142.9841108,1,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor
47,Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,41-51,4.18,Y,DUNDWF2,46,46,10,Dundonnell ,-37.8992405,142.9841108,1,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor
48,Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,52-80,4.2,Y,DUNDWF3,121,122,25,Dundonnell ,-37.8992405,142.9841108,1,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor,31.13,HAUNTED GULLY 500 kV,Very poor
49,Lal Lal Wind Farms Nom Co Pty Ltd,Elaine Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-22,3.8,Y,ELAINWF1,83.6,82,16,Elaine ,-37.7763154,144.0290035,1,5.38,ELAINE 220 kV,Very poor,5.38,ELAINE 220 kV,Very poor,5.38,ELAINE 220 kV,Very poor
50,Telstra Energy (Generation) Pty Ltd,Emerald Solar Park,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-32,2.75,N,EMERASF1,88,72,165,Emerald ,-23.5263118,148.1618622,1,51.87,LILYVALE 275 kV,Neutral,51.87,LILYVALE 275 kV,Poor,51.87,LILYVALE 275 kV,Poor
51,Ferguson Wind Farm Pty Ltd ,Ferguson North Wind Farm,VIC1,Generator,Market,Nion-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,4,N,FNWF1,4,3,0,Ferguson North ,-38.609398,143.176293,1,46.94,TERANG 220 kV,Poor,46.94,TERANG 220 kV,Poor,46.94,TERANG 220 kV,Poor
52,Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Tracking  Flat Panel,99,1.34,Y,FINLYSF1,162.36,133,27,Finley ,-35.6446552,145.5780957,1,5.93,FINLEY 132 kV,Very poor,5.93,FINLEY 132 kV,Very poor,5.93,FINLEY 132 kV,Very poor
53,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,2.5,Y,GANNSF1,55,50,1000,Gannawarra ,-35.7169085,144.1460363,1,20.08,KERANG 220 kV,Poor,20.08,KERANG 220 kV,Poor,20.08,KERANG 220 kV,High
54,Goonumbla Asset Co Pty Ltd as the Trustee for Goonumbla Asset Trust ,"Goonumbla Solar Farm, Units 1-31",NSW1,Generator,Market,     Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-31,2.25,Y,GOONSF1,85,69,13,Goonumbla ,-32.945,148.0547222,1,17.64,PARKES 132 kV,Poor,17.64,PARKES 132 kV,Poor,17.64,PARKES 132 kV,Poor
55,Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,3.55,Y,GRANWF1,110,111,22,Granville Harbour ,-41.8076932,145.035148,1,1.61,GRANVILLE HARBOUR 220 kV,Poor,1.61,GRANVILLE HARBOUR 220 kV,Poor,1.61,GRANVILLE HARBOUR 220 kV,Poor
56,Griffith Solar Farm Pty Ltd,Griffith Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,2.27,Y,GRIFSF1,27.2,27,1,Griffith ,-34.2870772,146.0551022,1,5.91,GRIFFITH 132 kV,Very poor,5.91,GRIFFITH 132 kV,Neutral,5.91,GRIFFITH 132 kV,Neutral
57,New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Apr,2.5,Y,GULLRSF1,10,10,10,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
58,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-17,1.461,N,GULLRWF1,275.5,268,55,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
59,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,18-73,2.435,N,GULLRWF1,-,-,-,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
60,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,74-104,3.451,Y,GULLRWF2,-,-,-,Gullen Range ,-34.54,149.4011111,1,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High,9.72,GULLEN RANGE 330 kV,High
61,Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,1.5,N,GUNNING1,46.5,47,47,Gunning ,-34.7831232,149.2659887,1,25.71,GULLEN RANGE 330 kV,High,25.71,GULLEN RANGE 330 kV,High,25.71,GULLEN RANGE 330 kV,High
62,AGL SA Generation Pty Limited,Hallett 1 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-45,2.1,N,HALLWF1,94.5,95,30,Hallett 1 ,-33.3790238,138.9177782,1,11.8,WILLOGOLECHE 275 kV,Very poor,11.8,WILLOGOLECHE 275 kV,Poor,11.8,WILLOGOLECHE 275 kV,Poor
63,AGL SA Generation Pty Limited,Hallett 2 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-34,2.1,N,HALLWF2,71.4,71,30,Hallett 2 ,-33.4118964,138.8936983,1,7.88,WILLOGOLECHE 275 kV,Very poor,7.88,WILLOGOLECHE 275 kV,Poor,7.88,WILLOGOLECHE 275 kV,Poor
64,Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,,2.5,Y,HAMISF1,57.5,56,20,Hamilton ,-37.7435744,142.0243127,1,50.35,TARRONE 500 kV,Very poor,50.35,TARRONE 500 kV,Very poor,50.35,TARRONE 500 kV,Very poor
65,Pacific Hydro Haughton Solar Farm Pty Ltd,Haughton Solar Farm Stage 1,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-81,1.23,Y,HAUGHT11,132,100,20,Haughton ,-35.2395776,150.1720982,1,59.25,CAPITAL 330 kV,High,59.25,CAPITAL 330 kV,High,59.25,CAPITAL 330 kV,High
66,Hayman Solar Farm Pty Ltd ATF the Hayman Solar Farm Trust ,Hayman Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-21,2.75,Y,HAYMSF1,57.75,50,165,Hayman ,-20.0502875,148.8884541,1,124.04,PIONEER VALLEY 132 kV,Neutral,124.04,PIONEER VALLEY 132 kV,Neutral,124.04,PIONEER VALLEY 132 kV,Neutral
67,Mt Mercer Windfarm Pty Ltd,Hepburn Community Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1 & 2,2.05,N,HEPWIND1,4.1,4,0,Hepburn Community ,-37.35090835,144.1514661,1,33.77,BALLARAT 220 kV,Very poor,33.77,BALLARAT 220 kV,Very poor,33.77,BALLARAT 220 kV,Very poor
68,HWF1 Pty Ltd,Hornsdale Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF1,102.4,102,50,Hornsdale ,-33.03989425,138.5254303,1,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor
69,HWF2 Pty Ltd,Hornsdale Wind Farm 2,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF2,102.4,102,50,Hornsdale ,-33.03989425,138.5254303,1,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor,5.07,HORNSDALE 275 kV,Very poor
