,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
120,Salt Creek Wind Farm Pty Ltd,Salt Creek Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,3.6,Y,SALTCRK1,54,54,162,Salt Creek ,-37.91813956,142.7957466,1,19.43,MORTLAKE 500 kV,Very poor,19.43,MORTLAKE 500 kV,Very poor,19.43,MORTLAKE 500 kV,Very poor
121,The Trustee For The SWF1 Operations Trust,Sapphire Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-75,3.6,Y,SAPHWF1,270,270,225,Sapphire ,-23.4620946,147.7205977,1,81.2,LILYVALE 275 kV,Neutral,81.2,LILYVALE 275 kV,Poor,81.2,LILYVALE 275 kV,Poor
122,AGL PARF NSW Pty Ltd,Silverton Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-58,3.43,Y,STWF1,198.94,198,50,Silverton ,-31.8869094,141.2275456,1,21.2,BROKEN HILL 220 kV,Very poor,21.2,BROKEN HILL 220 kV,Very poor,21.2,BROKEN HILL 220 kV,Very poor
123,Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown South Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,3,N,SNOWSTH1,126,126,50,Snowtown South ,-33.7829422,138.2147186,1,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor
124,Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown Wind Farm Stage 2 North,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3,N,SNOWNTH1,144,144,50,Snowtown ,-33.7829422,138.2147186,1,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor
125,Snowtown Wind Farm Pty Ltd,Snowtown Wind Farm Units 1 And 47,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,2.1,N,SNOWTWN1,99,99,20,Snowtown ,-33.7829422,138.2147186,1,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor,10.33,SNOWTOWN 275 kV,Poor
126,Dubbo Solar Hub Pty Ltd,South Keswick Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jun,2.5,N,SKSF1,15,13,0,South Keswick ,-34.9443902,138.5777753,1,0.56,CITY WEST 275 kV,Neutral,0.56,CITY WEST 275 kV,Neutral,0.56,CITY WEST 275 kV,Very poor
127,Starfish Hill Wind Farm Pty Ltd,Starfish Hill Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-23,1.5,N,STARHLWF,34.5,35,,Starfish Hill ,-35.56645,138.15883,1,61.62,MORPHETT VALE EAST 275 kV,Neutral,61.62,MORPHETT VALE EAST 275 kV,Neutral,61.62,MORPHETT VALE EAST 275 kV,Very poor
128,Sun Metals Corporation Pty Ltd,Sun Metals Solar Farm,QLD1,Generator,Market ,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-72,1.64,Y,SMCSF1,118,101,1492,Sun Metals ,-19.33102538,146.89136,1,19.12,ROSS 275 kV,Very poor,19.12,ROSS 275 kV,Very poor,19.12,ROSS 275 kV,Very poor
129,Sun Metals Corporation Pty Ltd,Sun Metals Solar Farm,QLD1,Generator,Market ,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,73-76,1.5,Y,SMCSF1,6,6,1492,Sun Metals ,-19.33102538,146.89136,1,19.12,ROSS 275 kV,Very poor,19.12,ROSS 275 kV,Very poor,19.12,ROSS 275 kV,Very poor
